companyName,contactName,phone,entryDate,registrationNumber,AuthCode,CISRegistrationNumber,AccountsOfficeReference,natureOfBusiness,accountingReferenceDate,registrationDate,incorporationDate,corporationTax_UTR,VATRegistered,vatNumber,vatReturnsPeriod,quarter1DueBy,quarter2DueBy,quarter3DueBy,quarter4DueBy,confirmationStatementDueBy,annualVatDueBy,shareholderName,numberOfShares,shareClass,directorTitle,dateOfAppointment,dateRegistrationForSE,dateOfResignation,dName,dDateOfBirth,dUTR,dUTR_ID,dUTR_Password,dNIN,businessAddress,registeredOfficeAddress,telephone,email,website,bankName,accountNumber,accountHolder,sortCode,RMdepartmentName,description,clientName,Email
text,text,number,1990-01-04,text,text,text,text,text,1990-01-02,1990-01-02,1990-01-02,text,0 or 1,0,"annual, quarterly",1990-01-02,1990-01-02,1990-01-02,1990-01-02,1990-01-02,1990-01-02,text,12345,text,text,1990-01-02,1999-01-00,2000-01-08,text,1/2/2050,text,text,,text,text,text,num,email,url,text,text,text,text,RMdepartmentName,description,text,text
0,0,0,1990-01-02,0,0,0,0,0,1990-01-03,1990-01-03,1990-01-03,0,0,0,0,1990-01-03,1990-01-03,1990-01-03,1990-01-03,1990-01-03,1990-01-03,0,0,0,0,1990-01-03,1999-01-01,2000-01-09,0,1/3/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-03,0,0,0,0,0,1990-01-04,1990-01-04,1990-01-04,0,0,0,0,1990-01-04,1990-01-04,1990-01-04,1990-01-04,1990-01-04,1990-01-04,0,0,0,0,1990-01-04,1999-01-02,2000-01-10,0,1/4/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-04,0,0,0,0,0,1990-01-05,1990-01-05,1990-01-05,0,0,0,0,1990-01-05,1990-01-05,1990-01-05,1990-01-05,1990-01-05,1990-01-05,0,0,0,0,1990-01-05,1999-01-03,2000-01-11,0,1/5/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-05,0,0,0,0,0,1990-01-06,1990-01-06,1990-01-06,0,0,0,0,1990-01-06,1990-01-06,1990-01-06,1990-01-06,1990-01-06,1990-01-06,0,0,0,0,1990-01-06,1999-01-04,2000-01-12,0,1/6/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-06,0,0,0,0,0,1990-01-07,1990-01-07,1990-01-07,0,0,0,0,1990-01-07,1990-01-07,1990-01-07,1990-01-07,1990-01-07,1990-01-07,0,0,0,0,1990-01-07,1999-01-05,2000-01-13,0,1/7/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-07,0,0,0,0,0,1990-01-08,1990-01-08,1990-01-08,0,0,0,0,1990-01-08,1990-01-08,1990-01-08,1990-01-08,1990-01-08,1990-01-08,0,0,0,0,1990-01-08,1999-01-06,2000-01-14,0,1/8/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-08,0,0,0,0,0,1990-01-09,1990-01-09,1990-01-09,0,0,0,0,1990-01-09,1990-01-09,1990-01-09,1990-01-09,1990-01-09,1990-01-09,0,0,0,0,1990-01-09,1999-01-07,2000-01-15,0,1/9/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-09,0,0,0,0,0,1990-01-10,1990-01-10,1990-01-10,0,0,0,0,1990-01-10,1990-01-10,1990-01-10,1990-01-10,1990-01-10,1990-01-10,0,0,0,0,1990-01-10,1999-01-08,2000-01-16,0,1/10/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-10,0,0,0,0,0,1990-01-11,1990-01-11,1990-01-11,0,0,0,0,1990-01-11,1990-01-11,1990-01-11,1990-01-11,1990-01-11,1990-01-11,0,0,0,0,1990-01-11,1999-01-09,2000-01-17,0,1/11/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-11,0,0,0,0,0,1990-01-12,1990-01-12,1990-01-12,0,0,0,0,1990-01-12,1990-01-12,1990-01-12,1990-01-12,1990-01-12,1990-01-12,0,0,0,0,1990-01-12,1999-01-10,2000-01-18,0,1/12/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-12,0,0,0,0,0,1990-01-13,1990-01-13,1990-01-13,0,0,0,0,1990-01-13,1990-01-13,1990-01-13,1990-01-13,1990-01-13,1990-01-13,0,0,0,0,1990-01-13,1999-01-11,2000-01-19,0,1/13/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-13,0,0,0,0,0,1990-01-14,1990-01-14,1990-01-14,0,0,0,0,1990-01-14,1990-01-14,1990-01-14,1990-01-14,1990-01-14,1990-01-14,0,0,0,0,1990-01-14,1999-01-12,2000-01-20,0,1/14/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-14,0,0,0,0,0,1990-01-15,1990-01-15,1990-01-15,0,0,0,0,1990-01-15,1990-01-15,1990-01-15,1990-01-15,1990-01-15,1990-01-15,0,0,0,0,1990-01-15,1999-01-13,2000-01-21,0,1/15/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-15,0,0,0,0,0,1990-01-16,1990-01-16,1990-01-16,0,0,0,0,1990-01-16,1990-01-16,1990-01-16,1990-01-16,1990-01-16,1990-01-16,0,0,0,0,1990-01-16,1999-01-14,2000-01-22,0,1/16/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-16,0,0,0,0,0,1990-01-17,1990-01-17,1990-01-17,0,0,0,0,1990-01-17,1990-01-17,1990-01-17,1990-01-17,1990-01-17,1990-01-17,0,0,0,0,1990-01-17,1999-01-15,2000-01-23,0,1/17/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-17,0,0,0,0,0,1990-01-18,1990-01-18,1990-01-18,0,0,0,0,1990-01-18,1990-01-18,1990-01-18,1990-01-18,1990-01-18,1990-01-18,0,0,0,0,1990-01-18,1999-01-16,2000-01-24,0,1/18/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-18,0,0,0,0,0,1990-01-19,1990-01-19,1990-01-19,0,0,0,0,1990-01-19,1990-01-19,1990-01-19,1990-01-19,1990-01-19,1990-01-19,0,0,0,0,1990-01-19,1999-01-17,2000-01-25,0,1/19/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-19,0,0,0,0,0,1990-01-20,1990-01-20,1990-01-20,0,0,0,0,1990-01-20,1990-01-20,1990-01-20,1990-01-20,1990-01-20,1990-01-20,0,0,0,0,1990-01-20,1999-01-18,2000-01-26,0,1/20/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-20,0,0,0,0,0,1990-01-21,1990-01-21,1990-01-21,0,0,0,0,1990-01-21,1990-01-21,1990-01-21,1990-01-21,1990-01-21,1990-01-21,0,0,0,0,1990-01-21,1999-01-19,2000-01-27,0,1/21/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-21,0,0,0,0,0,1990-01-22,1990-01-22,1990-01-22,0,0,0,0,1990-01-22,1990-01-22,1990-01-22,1990-01-22,1990-01-22,1990-01-22,0,0,0,0,1990-01-22,1999-01-20,2000-01-28,0,1/22/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-22,0,0,0,0,0,1990-01-23,1990-01-23,1990-01-23,0,0,0,0,1990-01-23,1990-01-23,1990-01-23,1990-01-23,1990-01-23,1990-01-23,0,0,0,0,1990-01-23,1999-01-21,2000-01-29,0,1/23/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-23,0,0,0,0,0,1990-01-24,1990-01-24,1990-01-24,0,0,0,0,1990-01-24,1990-01-24,1990-01-24,1990-01-24,1990-01-24,1990-01-24,0,0,0,0,1990-01-24,1999-01-22,2000-01-30,0,1/24/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-24,0,0,0,0,0,1990-01-25,1990-01-25,1990-01-25,0,0,0,0,1990-01-25,1990-01-25,1990-01-25,1990-01-25,1990-01-25,1990-01-25,0,0,0,0,1990-01-25,1999-01-23,2000-01-31,0,1/25/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-25,0,0,0,0,0,1990-01-26,1990-01-26,1990-01-26,0,0,0,0,1990-01-26,1990-01-26,1990-01-26,1990-01-26,1990-01-26,1/26/1990,0,0,0,0,1990-01-26,1999-01-24,2000-02-01,0,1/26/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-26,0,0,0,0,0,1990-01-27,1990-01-27,1990-01-27,0,0,0,0,1990-01-27,1990-01-27,1990-01-27,1990-01-27,1990-01-27,1/27/1990,0,0,0,0,1990-01-27,1999-01-25,2000-02-02,0,1/27/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-27,0,0,0,0,0,1990-01-28,1990-01-28,1990-01-28,0,0,0,0,1990-01-28,1990-01-28,1990-01-28,1990-01-28,1990-01-28,1/28/1990,0,0,0,0,1990-01-28,1999-01-26,2000-02-03,0,1/28/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-28,0,0,0,0,0,1990-01-29,1990-01-29,1990-01-29,0,0,0,0,1990-01-29,1990-01-29,1990-01-29,1990-01-29,1990-01-29,1/29/1990,0,0,0,0,1990-01-29,1999-01-27,2000-02-04,0,1/29/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-29,0,0,0,0,0,1990-01-30,1990-01-30,1990-01-30,0,0,0,0,1990-01-30,1990-01-30,1990-01-30,1990-01-30,1990-01-30,1/30/1990,0,0,0,0,1990-01-30,1999-01-28,2000-02-05,0,1/30/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
0,0,0,1990-01-30,0,0,0,0,0,1990-01-31,1990-01-31,1990-01-31,0,0,0,0,1990-01-31,1990-01-31,1990-01-31,1990-01-31,1990-01-31,1/31/1990,0,0,0,0,1990-01-31,1999-01-29,2000-02-06,0,1/31/2050,0,0,0,,0,0,12312,0,0,0,0,0,0,RMdepartmentName,description,1,mohamed.ashrafsp@Gmail.com
